userid,affiliation
U671115601,Foodies Delight
U600077683,Health First
U786917100,Tech Innovators
U413622950,Travel More
U492400767,Smart Homes Inc.
U786917100,Urban Eats
U856551731,Urban Eats
U535000510,Travel More
U640621448,EduWorld
U640621448,Urban Eats
U818535007,Global Trade Co.
U786917100,Eco Cleaners
U570328914,NextGen Mobility
U178446697,Fashion Forward
U818535007,Travel More
U388076615,Global Trade Co.
U640621448,NextGen Mobility
U671115601,Eco Cleaners
U671115601,Digital Dynamics
U570328914,FinTech Pioneers
