queryid,result
102672,Analysis Pending
47285,Needs More Data
637308,Needs More Data
421646,Further Review Needed
893004,Partial Success
584809,Further Review Needed
915497,Success
267976,Needs More Data
975886,Analysis Pending
881309,Analysis Pending
884681,Data Error
264149,Result Delayed
110817,Result Delayed
807917,Analysis Pending
622163,Failure
619576,Failure
440218,Success
381384,Success
637482,Data Error
594955,Failure
605963,Needs More Data
621069,Further Review Needed
460098,Analysis Pending
655845,Success
112319,Failure
469594,Result Delayed
754649,Needs More Data
953055,Success
500139,Failure
739096,Further Review Needed
406098,Needs More Data
588721,Failure
40764,Failure
102899,Partial Success
566979,Needs More Data
25414,Further Review Needed
83951,Partial Success
40857,Needs More Data
559590,Further Review Needed
769531,Analysis Pending
650522,Further Review Needed
680097,Result Delayed
410991,Further Review Needed
950445,Analysis Pending
778275,Success
28400,Result Delayed
9491,Further Review Needed
240177,Result Delayed
613601,Success
982198,Success
983473,Partial Success
608402,Needs More Data
795938,Failure
580048,Data Error
38709,Partial Success
56125,Failure
707495,Success
889628,Further Review Needed
54103,Result Delayed
268042,Result Delayed
137580,Needs More Data
616660,Partial Success
860902,Needs More Data
798366,Needs More Data
624215,Needs More Data
344061,Needs More Data
947971,Further Review Needed
139434,Data Error
71550,Failure
864297,Needs More Data
45146,Failure
541124,Result Delayed
421646,Partial Success
102899,Result Delayed
622163,Analysis Pending
889628,Analysis Pending
807917,Result Delayed
28400,Needs More Data
110817,Data Error
982198,Failure
