queryid,queryfunction,dateofquery,timeofquery,userid
102672,Study Cuisine Popularity,2021-05-12,13:46:10,U446549091
47285,Study Cuisine Popularity,2022-07-18,04:39:43,U367822255
637308,Study Cuisine Popularity,2022-02-25,00:20:44,U694195181
421646,Generate Population Report,2021-06-25,05:05:12,U579362622
893004,Study Cuisine Popularity,2022-05-01,05:14:10,U906475394
584809,Forecast Migration Rates,2021-01-21,12:34:00,U579362622
915497,Forecast Migration Rates,2020-09-24,04:27:56,U786917100
267976,Generate Population Report,2022-03-08,07:06:21,U570328914
975886,Study Cuisine Popularity,2022-03-16,19:38:01,U720941051
881309,Analyze Traffic Patterns,2021-03-22,13:21:51,U640621448
884681,Forecast Migration Rates,2020-01-14,10:13:05,U465447843
264149,Predict Restaurant Trends,2021-06-30,23:22:17,U367822255
110817,Study Cuisine Popularity,2020-10-31,12:58:23,U701638904
807917,Generate Population Report,2022-07-13,08:52:04,U446549091
622163,Compare Demographics,2022-03-18,00:51:34,U640621448
619576,Predict Restaurant Trends,2021-09-22,19:37:04,U446549091
440218,Evaluate Regional Foot Traffic,2021-07-23,01:48:11,U492400767
381384,Study Cuisine Popularity,2021-04-27,23:12:27,U720941051
637482,Estimate Housing Demand,2022-04-22,13:55:35,U640621448
594955,Analyze Traffic Patterns,2022-08-08,10:14:28,U570328914
605963,Study Cuisine Popularity,2020-12-01,14:48:45,U786917100
621069,Compare Demographics,2022-08-31,01:06:30,U178446697
460098,Analyze Traffic Patterns,2021-04-13,05:26:09,U388076615
655845,Predict Restaurant Trends,2021-11-08,23:41:43,U667424015
112319,Analyze Traffic Patterns,2020-06-03,02:27:45,U579362622
469594,Evaluate Regional Foot Traffic,2022-02-16,08:05:19,U600077683
754649,Predict Restaurant Trends,2021-03-16,19:21:43,U654833775
953055,Compare Demographics,2021-10-06,20:06:55,U933654038
500139,Generate Population Report,2022-05-04,12:56:03,U549214358
739096,Evaluate Regional Foot Traffic,2021-04-25,21:53:40,U221020388
406098,Evaluate Regional Foot Traffic,2020-10-27,05:00:38,U492400767
588721,Compare Demographics,2021-07-02,20:30:53,U786917100
40764,Predict Restaurant Trends,2021-02-12,06:43:01,U600077683
102899,Evaluate Regional Foot Traffic,2022-09-03,11:54:52,U719547209
566979,Analyze Traffic Patterns,2021-06-14,02:54:01,U570328914
25414,Generate Population Report,2022-07-04,03:02:34,U933654038
83951,Forecast Migration Rates,2021-03-17,22:11:57,U413622950
40857,Study Cuisine Popularity,2022-04-19,18:35:17,U535000510
559590,Predict Restaurant Trends,2020-05-18,23:30:24,U720941051
769531,Generate Population Report,2020-08-27,23:13:44,U694195181
650522,Study Cuisine Popularity,2020-10-29,04:40:02,U667424015
680097,Predict Restaurant Trends,2021-08-03,04:55:35,U701638904
410991,Forecast Migration Rates,2021-04-03,00:25:50,U178446697
950445,Study Cuisine Popularity,2020-04-18,05:23:48,U178446697
778275,Generate Population Report,2020-06-05,03:08:48,U221020388
28400,Generate Population Report,2021-08-22,11:19:26,U906475394
9491,Generate Population Report,2022-05-06,21:00:48,U719547209
240177,Analyze Traffic Patterns,2022-05-10,09:17:15,U600077683
613601,Evaluate Regional Foot Traffic,2020-03-30,19:07:26,U221020388
982198,Analyze Traffic Patterns,2022-05-29,05:11:57,U834545224
983473,Generate Population Report,2022-09-26,13:05:38,U719547209
608402,Analyze Traffic Patterns,2022-06-16,23:07:24,U549214358
795938,Generate Population Report,2022-06-27,06:50:04,U535000510
580048,Analyze Traffic Patterns,2022-07-06,16:17:56,U535000510
38709,Predict Restaurant Trends,2021-12-13,09:57:51,U654833775
56125,Estimate Housing Demand,2022-03-18,05:43:24,U413622950
707495,Evaluate Regional Foot Traffic,2021-12-10,16:49:14,U671115601
889628,Generate Population Report,2022-02-07,15:48:51,U211488868
54103,Generate Population Report,2022-07-03,17:30:40,U834545224
268042,Analyze Traffic Patterns,2021-08-05,20:15:17,U183942414
137580,Estimate Housing Demand,2020-09-11,14:42:00,U856551731
616660,Predict Restaurant Trends,2021-11-19,14:23:58,U933654038
860902,Analyze Traffic Patterns,2020-10-01,04:40:22,U701638904
798366,Compare Demographics,2022-09-21,08:43:24,U667424015
624215,Generate Population Report,2022-08-27,04:31:11,U413622950
344061,Evaluate Regional Foot Traffic,2022-09-21,17:23:16,U211488868
947971,Analyze Traffic Patterns,2021-12-26,09:25:17,U694195181
139434,Evaluate Regional Foot Traffic,2022-04-21,01:59:06,U183942414
71550,Forecast Migration Rates,2020-09-15,16:08:25,U373633828
864297,Generate Population Report,2020-10-20,03:52:02,U818535007
45146,Compare Demographics,2021-11-17,01:23:20,U654833775
541124,Estimate Housing Demand,2022-08-19,16:24:14,U906475394
